серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
053-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ТТЭО-Г;25.10.2018;Т053-18
054-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ТТЭО-Г;25.10.2018;Т054-18
055-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ТТЭО-Г;25.10.2018;Т055-18
056-18;2018;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;22.11.2018;Т056-18
057-18;2018;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;22.11.2018;Т057-18
058-18;2018;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;22.11.2018;Т058-18
059-18;2018;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;22.11.2018;Т059-18
060-18;2018;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;22.11.2018;Т060-18
061-18;;Временный номер для аккредитации ИЦ;;;;;;;
001-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т001-19
002-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т002-19
003-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т003-19
004-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т004-19
005-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т005-19
006-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т006-19
007-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т007-19
008-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т008-19
009-19;2019;КЭЗ;АО «Казахстанский электролизный завод»;КЭЗ;10;52.208209, 77.191470;ТТЭО-Г;25.12.2018;Т009-19
010-19;2019;SwissGrid; 380/220kV GIS substation at Châtelard/Valais;Swiss TSO Swissgrid;220;46.062446, 6.958601;ТТЭО-Г;25.12.2018;T010-19
011-19;2019;SwissGrid; 380/220kV GIS substation at Châtelard/Valais;Swiss TSO Swissgrid;220;46.062446, 6.958601;ТТЭО-Г;25.12.2018;T011-19
012-19;2019;SwissGrid; 380/220kV GIS substation at Châtelard/Valais;Swiss TSO Swissgrid;220;46.062446, 6.958601;ТТЭО-Г;25.12.2018;T012-19
013-19;2019;SwissGrid; 380/220kV GIS substation at Châtelard/Valais;Swiss TSO Swissgrid;220;46.062446, 6.958601;ТТЭО-Г;25.12.2018;T013-19
014-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО-Г;05.03.2019;Т014-19
015-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО-Г;05.03.2019;Т015-19
016-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО-Г;05.03.2019;Т016-19
017-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО-Г;05.03.2019;Т017-19
018-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т018-19
019-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т018-19
020-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т018-19
021-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т021-19
022-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т021-19
023-19;2019;ПС Север;ПС 110/10кВ Север;Газпром нефть;110;67.781219, 72.559204;ТТЭО;05.03.2019;Т021-19
024-19;;IREQ;Hydro-Québec Research Institute (IREQ);Hydro-Québec;765;45.624777, -73.380427;макет;11.03.2019;Т024-19
025-19;;IREQ;Hydro-Québec Research Institute (IREQ);Hydro-Québec;765;45.624777, -73.380427;макет;11.02.2019;Т025-19
026-19;2019;Кандалакша-2;Кандалакшский алюминиевый завод;РУСАЛ;10;60.579522, 26.809057;ТТЭО-Г;11.05.2019;Т026-19
027-19;2019;Fingrid;110 kV Pernoonkoski substation;Fingrid ;110;60.579522, 26.809057;ТТЭО;27.05.2019;Т027-19
028-19;2019;Fingrid;110 kV Pernoonkoski substation;Fingrid ;110;;ТТЭО;27.05.2019;Т027-19
029-19;2019;УЭТМ;;;;;ТТЭО;14.06.2019;Т029-19
030-19;2019;Саяногорск-6;Саяногорский алюминиевый завод;РУСАЛ;10;53.19998, 91.455724;ТТЭО-Г;26.07.2019;Т030-19
031-19;2019;Саяногорск-6;Саяногорский алюминиевый завод;РУСАЛ;10;53.19998, 91.455724;ТТЭО-Г;26.07.2019;Т031-19
032-19;2019;Демонстрационный ЭОБ 4U;;;;;ТТЭО;07.08.2019;
033-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;033-19
034-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;034-19
035-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;035-19
036-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;036-19
037-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;037-19
038-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;038-19
039-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;ТТНК;13.09.2019;039-19
040-19;2019;ВЭИ-2;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";10;55.75638, 37.70119;ТТЭО-Г;16.09.2019;040-19
041-19;2019;ВЭИ-2;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";10;55.75638, 37.70119;ТТЭО-Г;16.09.2019;041-19
042-19;2019;ВЭИ-2;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";10;55.75638, 37.70119;ТТЭО-Г;16.09.2019;0080-19
043-19;2019;Богучаны;ПС 110/35/10 кВ Богучаны;Россети Сибирь;110;58.369716, 97.417477;ТТЭО-Г;04.11.2019;043-19
044-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;039-19
045-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;033-19
046-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;034-19
047-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;035-19
048-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;036-19
049-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;037-19
050-19;;Краз Комучёт;Красноярский алюминиевый завод;РУСАЛ;220;56.08462530213259, 93.01941925256092;Модуль питания ВМ;19.11.2019;038-19
051-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;051-19
052-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;052-19
053-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;053-19
054-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;054-19
055-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;055-19
056-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;056-19
057-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;057-19
058-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;058-19
059-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;059-19
060-19;2019;Братск-2;;;;;ТТЭО;20.11.2019;060-19
061-19;;Фотовольтаика;;;;;ДНЕЭ;27.12.2019;061-19
062-19;;Фотовольтаика;;;;;Модуль питания ВМ;27.12.2019;061-19
137-19;;ИЦ;;;;;ДНЕЭ;28.12.2019;
001-20;;ПС Ясень;ПС 110 кВ Ясень;Россети Ленэнерго;110;59.401579, 28.483366;ТТНК;09.01.2020;001-20
002-20;;ПС Ясень;ПС 110 кВ Ясень;Россети Ленэнерго;110;59.401579, 28.483366;Модуль питания ВМ;27.01.2019;001-20
003-20;2020;МОЭСК_ПС Нагорная;ПС 110/10/6 кВ Нагорная;Россети Московский регион;110;55.672300, 37.616600;ТТЭО;06.03.2020;
004-20;2020;МОЭСК_ПС Нагорная;ПС 110/10/6 кВ Нагорная;Россети Московский регион;110;55.672300, 37.616600;ТТЭО;06.03.2020;
005-20;2020;Condis_HydroQuebec;735-kV Saguenay substation;Hydro-Québec;765;48.424657, -71.049039;ТТЭО;09.05.2020;
006-20;2020;Condis_HydroQuebec_аренда;735-kV Saguenay substation;Hydro-Québec;765;48.424657, -71.049039;ТТЭО;09.05.2020;
007-20;2020;Condis_HydroQuebec_ЗИП;735-kV Saguenay substation;Hydro-Québec;765;48.424657, -71.049039;ТТЭО;09.05.2020;
008-20;2020;Condis_MIT_USA;MIT;MIT;10;42.36002, -71.09858;ТТЭО-Г;09.05.2020;
009-20;2020;ИОМ (заявка Старостина);;;;;ТТЭО;21.07.2020;
010-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т010-20
011-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т010-20
012-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т012-20
013-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т012-20
014-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т014-20
015-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т014-20
016-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т016-20
017-20;2020;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ТТЭО;18.08.2020;Т016-20
018-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т018-20
019-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т018-20
020-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т020-20
021-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т020-20
022-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т022-20
023-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т022-20
024-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т024-20
025-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;ДНЕЭ;18.08.2020;Т024-20
026-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;18.08.2020;Т018-20
027-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;18.08.2020;Т018-20
028-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;18.08.2020;Т020-20
029-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;18.08.2020;Т020-20
030-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;18.08.2020;Т022-20
031-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;27.08.2020;Т022-20
032-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;27.08.2020;Т024-20
033-20;;ФСК ЕЭС_ПС Надым_поставка;ПС 220/110/10 кВ Надым;Россети ФКС ЕЭС;220;65.310772, 73.045392;Модуль питания ВМ;27.08.2020;Т024-20
034-20;2020;Аттестация_РОССЕТИ;;;;;ТТЭО;08.09.2020;Т034-20
035-20;2020;Аттестация_РОССЕТИ;;;;;ТТЭО;08.09.2020;Т035-20
036-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т036-20
037-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т036-20
038-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т038-20
039-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т038-20
040-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т040-20
041-20;2020;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ТТЭО;18.09.2020;Т040-20
042-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ДНЕЭ;18.09.2020;Т042-20
043-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ДНЕЭ;18.09.2020;Т043-20
044-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ДНЕЭ;18.09.2020;Т044-20
045-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ДНЕЭ;18.09.2020;Т045-20
046-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;ДНЕЭ;18.09.2020;Т046-20
047-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;Модуль питания ВМ;18.09.2020;Т042-20
048-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;Модуль питания ВМ;18.09.2020;Т043-20
049-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;Модуль питания ВМ;18.09.2020;Т044-20
050-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;Модуль питания ВМ;18.09.2020;Т045-20
051-20;;ФСК ЕЭС_ПС Трачуковская_поставка;ПС 500/220/35 кВ Трачуковская;Россети ФКС ЕЭС;220;61.287586, 75.230421;Модуль питания ВМ;18.09.2020;Т046-20
052-20;2020;Казцинк_поставка;Казцинк-Энерго;Казцинк-Энерго;10;49.974036, 82.612898;ТТЭО-Г;18.09.2020;Т052-20
053-20;2020;Казцинк_поставка;Казцинк-Энерго;Казцинк-Энерго;10;49.974036, 82.612898;ТТЭО-Г;18.09.2020;Т053-20
054-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т054-20
055-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т055-20
056-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т056-20
057-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т057-20
058-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т058-20
059-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т059-20
060-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т060-20
061-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т061-20
062-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т062-20
063-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т063-20
064-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т064-20
065-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т065-20
066-20;2020;РУСАЛ_Братск_поставка;Братский алюминиевый завод;РУСАЛ;10;56.126435, 101.449577;ТТЭО-Г;23.09.2020;Т066-20
067-20;2020;ЮниПро_Березовская ГРЭС_поставка;Березовская ГРЭС;Юнипро;24;55.579161, 89.070545;ТТЭО-Г;24.09.2020;Т067-20
068-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10/6 кВ №174 Лыткарино;Россети Московский регион;110;55.5744, 37.931600;ТТЭО;25.09.2020;Т068-20
069-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10/6 кВ №174 Лыткарино;Россети Московский регион;110;55.5744, 37.931600;ТТЭО;25.09.2020;Т069-20
070-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10/6 кВ №174 Лыткарино;Россети Московский регион;110;55.5744, 37.931600;ТТЭО;25.09.2020;Т070-20
071-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ТТЭО;25.09.2020;Т071-20
072-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ТТЭО;25.09.2020;Т072-20
073-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ТТЭО;25.09.2020;Т073-20
074-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ТТЭО;25.09.2020;Т074-20
075-20;2020;Склад;;;;;ТТЭО;25.09.2020;Т075-20
076-20;2020;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10/6 кВ №174 Лыткарино;Россети Московский регион;110;55.5744, 37.931600;ТТЭО;25.09.2020;Т076-20
077-20;;ИЦЛС Россети;;;;;ДНЕЭ;25.09.2020;Т077-20
078-20;;Склад;;;;;ДНЕЭ;25.09.2020;Т078-20
079-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10/6 кВ №174 Лыткарино;Россети Московский регион;110;55.5744, 37.931600;ДНЕЭ;25.09.2020;Т079-20
080-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ДНЕЭ;25.09.2020;Т080-20
081-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Пятницкая;Россети Московкий регион;110;54.7607, 38.142500;ДНЕЭ;25.09.2020;Т081-20
082-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;ДНЕЭ;25.09.2020;Т082-20
083-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;ДНЕЭ;25.09.2020;Т083-20
084-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т077-20
085-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т078-20
086-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т079-20
087-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т080-20
088-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т081-20
089-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т082-20
090-20;;МОЭСК (Энергоучет)_ПС 245,174,721,764_поставка;ПС 110/10 кВ Ям;Россети Московкий регион;110;55.520000, 37.758000;Модуль питания ВМ;25.09.2020;Т083-20
091-20;2020;Демонстрационный ЭОБ для ЭМС-испытаний;;;;;ТТЭО;24.12.2020;
001-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т001-21
002-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т001-21
003-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т003-21
004-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т003-21
005-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т005-21
006-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т005-21
007-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т007-21
008-21;2021;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ТТЭО;06.10.2020;Т007-21
009-21;;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ДНЕЭ;06.10.2020;Т009-21
010-21;;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;ДНЕЭ;06.10.2020;Т010-21
011-21;;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;Модуль питания ВМ;06.10.2020;Т009-21
012-21;;Ленэнерго_ПС Мартышкино_поставка;ПС 110/10 кВ Мартышкино;Россети Ленэнерго;110;59.88543, 29.795292;Модуль питания ВМ;06.10.2020;Т010-21
013-21;2021;Condis_MEPPI_Lab;MEPPI;Mitsubishi Electric;5;40.669472, -80.115719;ТТЭО;16.12.2020;T013-21
014-21;2021;Condis_MEPPI_Lab;MEPPI;Mitsubishi Electric;5;40.669472, -80.115719;ТТЭО;16.12.2020;T013-21
