серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;ID проекта;тип ЭОБ;Фамилия присвоившего;дата;серийный номер трансформатора, в который входит ЭОБ;серийные номера чувствительных элементов, к которым подключен ЭОБ;;;технологический паспорт;"паспорта модернизации/
ремонта";файл мониторинга;паспорт монтажа;Комментарий;;Волокно
002;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п005;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1mAW8Cm9H0Zh3yxx4H3hJczLZdnJ0dM4ejTh_0pcZNHg/edit#gid=538845924;;;;
003;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п005;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1mAW8Cm9H0Zh3yxx4H3hJczLZdnJ0dM4ejTh_0pcZNHg/edit#gid=1993009610;;;;
007;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п005;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1mAW8Cm9H0Zh3yxx4H3hJczLZdnJ0dM4ejTh_0pcZNHg/edit#gid=805701217;;;;
НТЦ ВОПТ;;НТЦ;;;;;п007;ТТЭО;демонтирован;01.01.2011;;0;0;0;;;https://docs.google.com/spreadsheets/d/1TlQHOTSwTVyhra9JE8jNWChetdynZ9DLQ3b7lmdXWWw/edit#gid=0;;демонтирован в 2018 году;;
НТЦ ВОПТ;;НТЦ;;;;;п007;ТТЭО;демонтирован;01.01.2011;;0;0;0;;;https://docs.google.com/spreadsheets/d/1TlQHOTSwTVyhra9JE8jNWChetdynZ9DLQ3b7lmdXWWw/edit#gid=0;;демонтирован в 2018 году;;
НТЦ ВОПН;;НТЦ;;;;;п007;ДНЕЭ;демонтирован;01.01.2011;;0;0;0;;;;;демонтирован в 2018 году;;
Казань ВОПТ;;Казань;;;;;п008;ТТЭО;выведен из работы, нужен демонтаж;01.01.2011;;0;0;0;;;https://docs.google.com/spreadsheets/d/1_IazrhDncYflpjiJJ8VRcHFMmX_J-SvzHJzSH6VfcdM/edit#gid=0;;демонтирован в 2018 году;;
Казань ВОПН;;Казань;;;;;п008;ДНЕЭ;выведен из работы, нужен демонтаж;01.01.2011;;0;0;0;;;https://docs.google.com/spreadsheets/d/1_IazrhDncYflpjiJJ8VRcHFMmX_J-SvzHJzSH6VfcdM/edit#gid=1696444723;;демонтирован в 2018 году;;
015;;Иркутск;Иркутский алюминиевый завод;РУСАЛ;10;52.19166742330731, 104.08460831108552;п009;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1-TtvkJmUMTZKWaW2vsiEMtAK58Vf6_s6FNx-qSln3EQ/edit#gid=272189331;;;;
019;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п010;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1mAW8Cm9H0Zh3yxx4H3hJczLZdnJ0dM4ejTh_0pcZNHg/edit#gid=1874410986;;;;
020;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п010;ТТЭО-Г;;01.01.2011;;;;;;;https://docs.google.com/spreadsheets/d/1mAW8Cm9H0Zh3yxx4H3hJczLZdnJ0dM4ejTh_0pcZNHg/edit#gid=310546579;;;;
